customer_id,customer_name,segment,first_order_date,last_order_date,number_of_orders,total_sales_lifetime,average_order_value,customer_age_days,first_order_year,last_order_year,ltv_category,order_frequency_category
NP-18700,Nora Preis,Consumer,2016-09-05,2019-08-14,7,21270.24,686.14,1073,2016.0,2019.0,VIP,Периодический
AH-10690,Anna H�berlin,Consumer,2016-04-02,2018-11-15,12,21038.25,344.89,957,2016.0,2018.0,VIP,Регулярный
JK-15640,Jim Kriz,Consumer,2016-09-19,2019-07-03,9,20857.17,595.92,1017,2016.0,2019.0,VIP,Периодический
RW-19540,Rick Wilson,Consumer,2017-02-03,2019-09-01,7,20446.55,352.53,940,2017.0,2019.0,VIP,Периодический
PS-19045,Penelope Sewall,Consumer,2016-12-20,2019-05-08,7,20445.94,552.59,869,2016.0,2019.0,VIP,Периодический
LC-16885,Lena Creighton,Consumer,2016-04-25,2019-12-14,12,20257.07,337.62,1328,2016.0,2019.0,VIP,Регулярный
NC-18535,Nick Crebassa,Consumer,2016-07-23,2019-12-24,7,19417.1,510.98,1249,2016.0,2019.0,VIP,Периодический
PK-19075,Pete Kriz,Consumer,2016-11-11,2019-12-21,12,19306.9,321.78,1135,2016.0,2019.0,VIP,Регулярный
AB-10060,Adam Bellavance,Consumer,2017-09-18,2019-11-06,8,19139.45,329.99,779,2017.0,2019.0,VIP,Периодический
Dp-13240,Dean percer,Consumer,2016-05-26,2019-10-07,11,18786.06,221.01,1229,2016.0,2019.0,VIP,Регулярный
JL-15835,John Lee,Consumer,2016-04-18,2019-12-09,11,18747.62,243.48,1330,2016.0,2019.0,VIP,Регулярный
ZC-21910,Zuschuss Carroll,Consumer,2016-10-13,2019-11-06,13,18433.5,252.51,1119,2016.0,2019.0,VIP,Регулярный
JG-15160,James Galang,Consumer,2016-05-30,2019-12-29,11,18359.09,417.25,1308,2016.0,2019.0,VIP,Регулярный
GK-14620,Grace Kelly,Consumer,2016-06-25,2019-09-09,9,18289.02,537.91,1171,2016.0,2019.0,VIP,Периодический
HM-14860,Harry Marie,Consumer,2016-07-21,2019-12-28,10,18265.48,415.12,1255,2016.0,2019.0,VIP,Регулярный
BB-11545,Brenda Bowman,Consumer,2017-06-05,2019-12-02,9,17981.36,339.27,910,2017.0,2019.0,VIP,Периодический
DR-12880,Dan Reichenbach,Consumer,2017-09-25,2019-12-27,9,17964.64,280.7,823,2017.0,2019.0,VIP,Периодический
SD-20485,Shirley Daniels,Consumer,2016-01-26,2019-06-13,9,17766.71,323.03,1234,2016.0,2019.0,VIP,Периодический
BF-11170,Ben Ferrer,Consumer,2016-04-13,2019-12-14,11,17737.83,233.39,1340,2016.0,2019.0,VIP,Регулярный
RH-19510,Rick Huthwaite,Consumer,2016-11-16,2018-09-19,6,17690.67,478.13,672,2016.0,2018.0,VIP,Периодический
KD-16495,Keith Dawkins,Consumer,2016-09-28,2019-09-09,12,17586.48,247.7,1076,2016.0,2019.0,VIP,Регулярный
QJ-19255,Quincy Jones,Consumer,2016-03-17,2019-12-05,9,17520.81,473.54,1358,2016.0,2019.0,VIP,Периодический
KC-16540,Kelly Collister,Consumer,2017-11-02,2019-09-24,4,17513.76,1347.21,691,2017.0,2019.0,VIP,Редкий
MH-18115,Mick Hernandez,Consumer,2018-08-23,2019-12-25,9,17439.66,276.82,489,2018.0,2019.0,VIP,Периодический
RM-19675,Robert Marley,Consumer,2016-11-14,2019-12-24,5,17433.33,544.79,1135,2016.0,2019.0,VIP,Периодический
PO-18850,Patrick O'Brill,Consumer,2016-11-02,2019-12-26,11,17347.06,299.09,1149,2016.0,2019.0,VIP,Регулярный
MS-17365,Maribeth Schnelling,Consumer,2016-09-09,2019-04-01,10,17314.97,293.47,934,2016.0,2019.0,VIP,Регулярный
SB-20290,Sean Braxton,Consumer,2016-05-09,2019-11-13,7,17129.72,428.24,1283,2016.0,2019.0,VIP,Периодический
JE-15745,Joel Eaton,Consumer,2016-06-22,2019-11-09,13,17067.56,316.07,1235,2016.0,2019.0,VIP,Регулярный
SE-20110,Sanjit Engle,Consumer,2016-04-11,2019-12-21,11,17053.93,334.39,1349,2016.0,2019.0,VIP,Регулярный
YS-21880,Yana Sorensen,Consumer,2017-01-12,2019-12-21,8,16843.9,526.37,1073,2017.0,2019.0,VIP,Периодический
CB-12025,Cassandra Brandow,Consumer,2016-03-21,2019-11-13,10,16659.16,268.7,1332,2016.0,2019.0,VIP,Регулярный
TT-21460,Tonja Turnell,Consumer,2017-12-08,2019-12-18,7,16222.92,377.28,740,2017.0,2019.0,VIP,Периодический
DP-13390,Dennis Pardue,Consumer,2016-07-05,2019-01-06,9,16165.45,425.41,915,2016.0,2019.0,VIP,Периодический
FH-14365,Fred Hopkins,Consumer,2016-10-20,2019-12-25,8,16133.13,488.88,1161,2016.0,2019.0,VIP,Периодический
SP-20620,Stefania Perrino,Consumer,2016-09-08,2019-11-13,9,15976.0,249.62,1161,2016.0,2019.0,VIP,Периодический
TP-21415,Tom Prescott,Consumer,2017-11-28,2019-09-17,5,15959.19,693.88,658,2017.0,2019.0,VIP,Периодический
YC-21895,Yoseph Carroll,Consumer,2016-11-17,2019-12-26,5,15669.28,870.52,1134,2016.0,2019.0,VIP,Периодический
TW-21025,Tamara Willingham,Consumer,2016-12-22,2019-10-27,7,15481.76,483.8,1039,2016.0,2019.0,VIP,Периодический
HR-14830,Harold Ryan,Consumer,2016-11-24,2019-07-24,7,15295.08,392.18,972,2016.0,2019.0,VIP,Периодический
LW-17215,Luke Weiss,Consumer,2016-09-12,2019-12-09,7,15259.67,435.99,1183,2016.0,2019.0,VIP,Периодический
MP-18175,Mike Pelletier,Consumer,2016-03-28,2019-12-14,9,14987.81,267.64,1356,2016.0,2019.0,VIP,Периодический
SC-20380,Shahid Collister,Consumer,2016-03-01,2019-11-30,9,14868.85,270.34,1369,2016.0,2019.0,VIP,Периодический
RA-19915,Russell Applegate,Consumer,2016-06-30,2019-12-18,9,14775.65,263.85,1266,2016.0,2019.0,VIP,Периодический
AC-10450,Amy Cox,Consumer,2016-10-31,2019-12-19,7,14700.42,639.15,1144,2016.0,2019.0,VIP,Периодический
SM-20950,Suzanne McNair,Consumer,2016-09-29,2019-12-05,12,14666.38,261.9,1162,2016.0,2019.0,VIP,Регулярный
AD-10180,Alan Dominguez,Consumer,2016-11-19,2019-12-01,8,14550.29,454.7,1107,2016.0,2019.0,VIP,Периодический
DH-13075,Dave Hallsten,Consumer,2016-11-21,2019-03-28,6,14491.16,233.73,857,2016.0,2019.0,VIP,Периодический
WB-21850,William Brown,Consumer,2016-11-04,2019-12-10,11,14489.61,157.5,1131,2016.0,2019.0,VIP,Регулярный
BH-11710,Brosina Hoffman,Consumer,2016-06-09,2019-12-07,8,14086.88,247.14,1276,2016.0,2019.0,VIP,Периодический
TT-21070,Ted Trevino,Consumer,2016-05-18,2019-11-29,7,13857.15,355.31,1290,2016.0,2019.0,VIP,Периодический
SC-20050,Sample Company A,Consumer,2016-03-18,2019-11-20,9,13818.58,345.46,1342,2016.0,2019.0,VIP,Периодический
SB-20185,Sarah Brown,Consumer,2016-09-20,2019-06-25,6,13807.81,493.14,1008,2016.0,2019.0,VIP,Периодический
GM-14695,Greg Maxwell,Consumer,2016-04-05,2019-09-04,3,13777.63,510.28,1247,2016.0,2019.0,VIP,Редкий
SC-20770,Stewart Carmichael,Consumer,2017-06-20,2019-11-19,7,13681.73,224.29,882,2017.0,2019.0,VIP,Периодический
IL-15100,Ivan Liston,Consumer,2016-08-01,2019-08-10,7,13634.59,389.56,1104,2016.0,2019.0,VIP,Периодический
AR-10540,Andy Reiter,Consumer,2016-11-25,2019-12-24,6,13632.39,592.71,1124,2016.0,2019.0,VIP,Периодический
BD-11320,Bill Donatelli,Consumer,2017-05-31,2019-11-27,12,13611.78,272.24,910,2017.0,2019.0,VIP,Регулярный
AA-10645,Anna Andreadi,Consumer,2016-06-22,2019-11-05,6,13592.02,277.39,1231,2016.0,2019.0,VIP,Периодический
KH-16510,Keith Herrera,Consumer,2016-08-15,2019-12-08,7,13577.02,226.28,1210,2016.0,2019.0,VIP,Периодический
JA-15970,Joseph Airdo,Consumer,2016-09-17,2019-09-29,8,13575.8,261.07,1107,2016.0,2019.0,VIP,Периодический
DW-13480,Dianna Wilson,Consumer,2016-06-01,2019-05-27,5,13568.35,467.87,1090,2016.0,2019.0,VIP,Периодический
KD-16270,Karen Daniels,Consumer,2016-11-11,2018-09-02,5,13510.67,337.77,660,2016.0,2018.0,VIP,Периодический
KL-16555,Kelly Lampkin,Consumer,2016-06-15,2019-12-14,8,13483.01,221.03,1277,2016.0,2019.0,VIP,Периодический
JK-16090,Juliana Krohn,Consumer,2017-04-21,2019-12-02,3,13447.99,560.33,955,2017.0,2019.0,VIP,Редкий
PO-19180,Philisse Overcash,Consumer,2017-08-11,2019-07-23,9,13436.94,248.83,711,2017.0,2019.0,VIP,Периодический
TB-21520,Tracy Blumstein,Consumer,2016-10-17,2019-09-14,9,13428.37,258.24,1062,2016.0,2019.0,VIP,Периодический
BS-11365,Bill Shonely,Consumer,2016-05-04,2018-06-20,5,13391.44,557.98,777,2016.0,2018.0,VIP,Периодический
JK-15730,Joe Kamberova,Consumer,2016-11-18,2019-10-07,10,13337.09,251.64,1053,2016.0,2019.0,VIP,Регулярный
VW-21775,Victoria Wilson,Consumer,2016-05-11,2019-12-02,10,13300.24,302.28,1300,2016.0,2019.0,VIP,Регулярный
KM-16720,Kunst Miller,Consumer,2016-03-30,2019-12-02,8,13231.98,181.26,1342,2016.0,2019.0,VIP,Периодический
BW-11110,Bart Watters,Consumer,2017-03-20,2019-08-31,8,13202.83,300.06,894,2017.0,2019.0,VIP,Периодический
NW-18400,Natalie Webber,Consumer,2016-06-21,2019-07-11,7,13191.34,253.68,1115,2016.0,2019.0,VIP,Периодический
SC-20725,Steven Cartwright,Consumer,2016-06-03,2019-06-26,11,13099.11,211.28,1118,2016.0,2019.0,VIP,Регулярный
RB-19795,Ross Baird,Consumer,2016-06-03,2019-11-28,8,13067.23,278.03,1273,2016.0,2019.0,VIP,Периодический
MJ-17740,Max Jones,Consumer,2017-06-09,2019-12-08,7,13044.26,383.65,912,2017.0,2019.0,VIP,Периодический
DK-13225,Dean Katz,Consumer,2016-03-14,2019-12-20,9,12944.97,258.9,1376,2016.0,2019.0,VIP,Периодический
CS-12400,Christopher Schild,Consumer,2016-09-26,2019-12-28,9,12934.83,300.81,1188,2016.0,2019.0,VIP,Периодический
HK-14890,Heather Kirkland,Consumer,2016-06-10,2019-08-01,8,12869.07,338.66,1147,2016.0,2019.0,VIP,Периодический
NP-18325,Naresj Patel,Consumer,2016-05-13,2019-12-05,6,12851.03,285.58,1301,2016.0,2019.0,VIP,Периодический
AH-10210,Alan Hwang,Consumer,2016-11-29,2019-12-24,9,12805.8,400.18,1120,2016.0,2019.0,VIP,Периодический
PW-19030,Pauline Webber,Consumer,2016-05-16,2019-11-14,10,12800.55,320.01,1277,2016.0,2019.0,VIP,Регулярный
AJ-10780,Anthony Jacobs,Consumer,2016-01-10,2019-10-16,7,12798.62,355.52,1375,2016.0,2019.0,VIP,Периодический
VD-21670,Valerie Dominguez,Consumer,2016-08-04,2018-05-28,6,12767.49,345.07,662,2016.0,2018.0,VIP,Периодический
MW-18220,Mitch Webber,Consumer,2016-08-25,2019-12-13,7,12680.3,384.25,1205,2016.0,2019.0,VIP,Периодический
AM-10705,Anne McFarland,Consumer,2016-10-31,2019-07-21,8,12623.42,229.52,993,2016.0,2019.0,VIP,Периодический
JK-15205,Jamie Kunitz,Consumer,2016-07-11,2019-10-30,5,12610.22,406.78,1206,2016.0,2019.0,VIP,Периодический
JK-15625,Jim Karlsson,Consumer,2016-05-31,2019-10-30,7,12584.27,393.26,1247,2016.0,2019.0,VIP,Периодический
EB-13840,Ellis Ballard,Consumer,2016-05-30,2019-10-01,5,12580.81,629.04,1219,2016.0,2019.0,VIP,Периодический
ES-14080,Erin Smith,Consumer,2016-10-02,2019-12-02,9,12406.82,229.76,1156,2016.0,2019.0,VIP,Периодический
GA-14515,George Ashbrook,Consumer,2016-05-18,2019-08-03,8,12348.25,333.74,1172,2016.0,2019.0,VIP,Периодический
CM-12655,Corinna Mitchell,Consumer,2017-03-19,2019-12-03,6,12347.06,493.88,989,2017.0,2019.0,VIP,Периодический
PM-19135,Peter McVee,Consumer,2017-12-19,2019-11-09,4,12346.99,587.95,690,2017.0,2019.0,VIP,Редкий
EM-14140,Eugene Moren,Consumer,2016-07-19,2019-11-12,6,12346.43,209.26,1211,2016.0,2019.0,VIP,Периодический
RL-19615,Rob Lucas,Consumer,2016-12-05,2019-08-31,8,12323.01,205.38,999,2016.0,2019.0,VIP,Периодический
CB-12535,Claudia Bergmann,Consumer,2017-01-02,2019-06-16,8,12308.64,246.17,895,2017.0,2019.0,VIP,Периодический
KT-16480,Kean Thornton,Consumer,2016-03-10,2019-09-21,10,12285.0,383.91,1290,2016.0,2019.0,VIP,Регулярный
TS-21205,Thomas Seio,Consumer,2016-03-21,2019-06-15,7,12252.61,266.36,1181,2016.0,2019.0,VIP,Периодический
CP-12340,Christine Phan,Consumer,2016-03-17,2019-07-23,8,12248.68,395.12,1223,2016.0,2019.0,VIP,Периодический
MA-17560,Matt Abelman,Consumer,2016-08-08,2019-10-27,11,12230.17,134.4,1175,2016.0,2019.0,VIP,Регулярный
MG-17650,Matthew Grinstein,Consumer,2016-08-09,2019-12-01,7,12191.23,312.6,1209,2016.0,2019.0,VIP,Периодический
SC-20305,Sean Christensen,Consumer,2016-12-16,2019-12-01,7,12115.62,346.16,1080,2016.0,2019.0,VIP,Периодический
LB-16795,Laurel Beltran,Consumer,2016-04-23,2019-07-31,8,12090.38,183.19,1194,2016.0,2019.0,VIP,Периодический
AJ-10795,Anthony Johnson,Consumer,2016-05-14,2019-07-17,7,12077.66,236.82,1159,2016.0,2019.0,VIP,Периодический
SP-20860,Sung Pak,Consumer,2016-12-15,2019-10-12,10,12024.91,179.48,1031,2016.0,2019.0,VIP,Регулярный
DB-13270,Deborah Brumfield,Consumer,2016-02-04,2019-11-07,8,12011.34,307.98,1372,2016.0,2019.0,VIP,Периодический
EP-13915,Emily Phan,Consumer,2016-07-06,2019-12-18,17,11906.36,163.1,1260,2016.0,2019.0,VIP,Регулярный
DM-13015,Darrin Martin,Consumer,2016-09-14,2019-11-03,7,11839.58,263.1,1145,2016.0,2019.0,VIP,Периодический
MW-18235,Mitch Willingham,Consumer,2016-05-21,2019-11-16,2,11743.69,1467.96,1274,2016.0,2019.0,VIP,Редкий
MG-18145,Mike Gockenbach,Consumer,2016-03-29,2019-10-07,4,11738.74,489.11,1287,2016.0,2019.0,VIP,Редкий
AA-10315,Alex Avila,Consumer,2016-03-31,2019-06-29,5,11699.19,403.42,1185,2016.0,2019.0,VIP,Периодический
RP-19390,Resi P�lking,Consumer,2016-05-24,2019-11-27,12,11692.16,198.17,1282,2016.0,2019.0,VIP,Регулярный
MP-17965,Michael Paige,Consumer,2017-04-18,2019-10-19,9,11657.91,219.96,914,2017.0,2019.0,VIP,Периодический
IM-15070,Irene Maddox,Consumer,2016-12-19,2018-12-05,7,11619.81,223.46,716,2016.0,2018.0,VIP,Периодический
TB-21400,Tom Boeckenhauer,Consumer,2016-01-21,2019-06-11,7,11582.46,282.5,1237,2016.0,2019.0,VIP,Периодический
RD-19480,Rick Duston,Consumer,2016-06-08,2019-10-19,8,11492.63,348.26,1228,2016.0,2019.0,VIP,Периодический
CS-12505,Cindy Stewart,Consumer,2016-03-26,2019-11-02,6,11386.63,632.59,1316,2016.0,2019.0,VIP,Периодический
NM-18445,Nathan Mautz,Consumer,2016-02-08,2019-07-23,7,11358.27,298.9,1261,2016.0,2019.0,VIP,Периодический
AR-10825,Anthony Rawles,Consumer,2016-06-30,2019-11-02,8,11262.07,341.27,1220,2016.0,2019.0,VIP,Периодический
HG-15025,Hunter Glantz,Consumer,2016-10-14,2019-12-24,7,11173.0,360.42,1166,2016.0,2019.0,VIP,Периодический
DB-13060,Dave Brooks,Consumer,2016-03-01,2019-12-14,7,11096.52,317.04,1383,2016.0,2019.0,VIP,Периодический
CP-12085,Cathy Prescott,Consumer,2016-12-04,2019-10-09,8,11078.13,335.7,1039,2016.0,2019.0,VIP,Периодический
TP-21130,Theone Pippenger,Consumer,2017-04-14,2019-12-22,9,11049.13,298.63,982,2017.0,2019.0,VIP,Периодический
LR-16915,Lena Radford,Consumer,2016-08-08,2019-12-04,6,11046.32,315.61,1213,2016.0,2019.0,VIP,Периодический
GT-14635,Grant Thornton,Consumer,2016-06-06,2019-11-04,3,11036.57,788.33,1246,2016.0,2019.0,VIP,Редкий
KB-16240,Karen Bern,Consumer,2016-03-31,2019-12-26,7,11018.02,379.93,1365,2016.0,2019.0,VIP,Периодический
CA-11965,Carol Adams,Consumer,2016-01-26,2019-09-25,6,10981.08,392.18,1338,2016.0,2019.0,VIP,Периодический
SA-20830,Sue Ann Reed,Consumer,2016-02-22,2019-10-28,10,10911.86,198.4,1344,2016.0,2019.0,VIP,Регулярный
FH-14275,Frank Hawley,Consumer,2016-04-06,2019-11-23,10,10892.53,201.71,1326,2016.0,2019.0,VIP,Регулярный
SS-20410,Shahid Shariari,Consumer,2016-05-30,2019-09-11,6,10812.41,318.01,1199,2016.0,2019.0,VIP,Периодический
AT-10735,Annie Thurman,Consumer,2016-08-30,2019-12-17,10,10786.54,276.58,1204,2016.0,2019.0,VIP,Регулярный
CC-12430,Chuck Clark,Consumer,2017-09-06,2019-12-30,10,10782.27,182.75,845,2017.0,2019.0,VIP,Регулярный
BP-11185,Ben Peterman,Consumer,2017-03-24,2019-12-29,9,10765.32,215.31,1010,2017.0,2019.0,VIP,Периодический
RS-19765,Roland Schwarz,Consumer,2016-04-07,2019-11-24,8,10731.34,306.61,1326,2016.0,2019.0,VIP,Периодический
RO-19780,Rose O'Brian,Consumer,2017-05-12,2019-11-25,7,10704.53,356.82,927,2017.0,2019.0,VIP,Периодический
BS-11380,Bill Stewart,Consumer,2016-11-29,2019-12-02,5,10641.22,304.03,1098,2016.0,2019.0,VIP,Периодический
SV-20785,Stewart Visinsky,Consumer,2016-04-12,2019-02-13,9,10623.23,186.37,1037,2016.0,2019.0,VIP,Периодический
PW-19240,Pierre Wener,Consumer,2016-11-18,2018-09-22,7,10621.32,424.85,673,2016.0,2018.0,VIP,Периодический
CS-12355,Christine Sundaresam,Consumer,2016-08-15,2019-12-24,11,10608.33,189.43,1226,2016.0,2019.0,VIP,Регулярный
SC-20260,Scott Cohen,Consumer,2016-04-06,2019-06-26,8,10512.42,228.53,1176,2016.0,2019.0,VIP,Периодический
RB-19465,Rick Bensley,Consumer,2016-03-14,2019-12-21,12,10493.01,180.91,1377,2016.0,2019.0,VIP,Регулярный
KH-16690,Kristen Hastings,Consumer,2016-03-21,2019-12-28,7,10486.45,275.96,1377,2016.0,2019.0,VIP,Периодический
FP-14320,Frank Preis,Consumer,2016-12-07,2019-12-07,8,10472.59,290.91,1095,2016.0,2019.0,VIP,Периодический
TH-21550,Tracy Hopkins,Consumer,2016-04-05,2019-10-19,7,10470.43,290.85,1292,2016.0,2019.0,VIP,Периодический
BE-11335,Bill Eplett,Consumer,2018-01-15,2019-09-02,5,10433.41,417.34,595,2018.0,2019.0,VIP,Периодический
TB-21175,Thomas Boland,Consumer,2016-12-08,2019-11-02,4,10429.72,401.14,1059,2016.0,2019.0,VIP,Редкий
ED-13885,Emily Ducich,Consumer,2016-08-09,2019-08-17,8,10419.52,260.49,1103,2016.0,2019.0,VIP,Периодический
GZ-14470,Gary Zandusky,Consumer,2016-08-05,2019-12-23,9,10264.41,320.76,1235,2016.0,2019.0,VIP,Периодический
DK-12895,Dana Kaydos,Consumer,2017-03-08,2019-11-15,5,10220.25,283.9,982,2017.0,2019.0,VIP,Периодический
FC-14335,Fred Chung,Consumer,2016-10-10,2019-06-29,7,10051.62,386.6,992,2016.0,2019.0,VIP,Периодический
EB-13705,Ed Braxton,Consumer,2016-07-08,2019-11-12,9,9998.66,302.99,1222,2016.0,2019.0,Высокий,Периодический
AG-10675,Anna Gayman,Consumer,2017-05-07,2019-09-24,7,9876.91,266.94,870,2017.0,2019.0,Высокий,Периодический
SP-20920,Susan Pistek,Consumer,2016-11-22,2019-10-21,6,9868.08,266.7,1063,2016.0,2019.0,Высокий,Периодический
JF-15565,Jill Fjeld,Consumer,2016-10-11,2019-11-06,8,9860.75,246.52,1121,2016.0,2019.0,Высокий,Периодический
LC-16960,Lindsay Castell,Consumer,2017-02-23,2018-10-20,4,9817.58,426.85,604,2017.0,2018.0,Высокий,Редкий
FC-14245,Frank Carlisle,Consumer,2017-06-13,2019-10-21,7,9783.05,232.93,860,2017.0,2019.0,Высокий,Периодический
CT-11995,Carol Triggs,Consumer,2016-05-07,2019-09-25,8,9660.17,197.15,1236,2016.0,2019.0,Высокий,Периодический
CC-12220,Chris Cortes,Consumer,2016-09-09,2019-12-10,12,9639.06,178.5,1187,2016.0,2019.0,Высокий,Регулярный
LF-17185,Luke Foster,Consumer,2016-07-26,2019-12-08,7,9616.71,234.55,1230,2016.0,2019.0,Высокий,Периодический
JS-15880,John Stevenson,Consumer,2016-04-08,2018-07-14,5,9615.47,437.07,827,2016.0,2018.0,Высокий,Периодический
RF-19345,Randy Ferguson,Consumer,2016-05-20,2018-12-05,8,9607.26,240.18,929,2016.0,2018.0,Высокий,Периодический
HG-14965,Henry Goldwyn,Consumer,2016-09-20,2019-12-07,12,9566.12,212.58,1173,2016.0,2019.0,Высокий,Регулярный
GB-14575,Giulietta Baptist,Consumer,2017-06-12,2019-12-17,5,9549.81,265.27,918,2017.0,2019.0,Высокий,Периодический
EB-13750,Edward Becker,Consumer,2017-03-12,2019-11-25,10,9513.48,172.97,988,2017.0,2019.0,Высокий,Регулярный
EH-14125,Eugene Hildebrand,Consumer,2016-10-19,2019-07-31,10,9504.88,172.82,1015,2016.0,2019.0,Высокий,Регулярный
KW-16435,Katrina Willman,Consumer,2017-08-24,2019-09-25,5,9480.93,364.65,762,2017.0,2019.0,Высокий,Периодический
SZ-20035,Sam Zeldin,Consumer,2016-09-07,2019-11-25,11,9388.17,184.08,1174,2016.0,2019.0,Высокий,Регулярный
DL-13495,Dionis Lloyd,Consumer,2017-12-25,2019-10-15,8,9375.85,312.53,659,2017.0,2019.0,Высокий,Периодический
AG-10900,Arthur Gainer,Consumer,2016-07-23,2019-09-25,10,9361.26,208.03,1159,2016.0,2019.0,Высокий,Регулярный
DB-13555,Dorothy Badders,Consumer,2016-04-21,2019-09-14,7,9348.48,274.96,1241,2016.0,2019.0,Высокий,Периодический
RW-19690,Robert Waldorf,Consumer,2018-05-30,2019-10-12,5,9328.24,282.67,500,2018.0,2019.0,Высокий,Периодический
SR-20425,Sharelle Roach,Consumer,2016-06-14,2019-12-22,5,9267.7,386.15,1286,2016.0,2019.0,Высокий,Периодический
SJ-20125,Sanjit Jacobs,Consumer,2017-09-22,2019-09-26,12,9266.57,144.79,734,2017.0,2019.0,Высокий,Регулярный
